topic,drill_question,what_examiner_wants,difficulty
Income Tax,"Compute full IT liability: salary £110k (PAYE £30k), interest £3k, dividends £4k; gift aid £2k.","NSI/SI/DI proforma; ANI computation with gift aid grossing up extending BR band by £2,500; PA taper; PSA £500; DA £500; rate-band allocation; less PAYE; conclusion.",hard
Employment,"Value employment income: salary £50k; car list £35k CO2% 30% available 11 months capital contrib £6k private-use £40/month; fuel (private); one mobile; staff function £120/head x 2 events; beneficial loan £12k year at 1% interest paid (ORI 2.25%).","Each item labelled; car capped contrib; fuel all-or-nothing; mobile exempt; staff function exempt (within £150); loan benefit using avg (£12k x 2.25% - interest paid).",hard
Trading,"Adjust trading profit: net profit £220k including depreciation £18k, customer entertaining £4.5k, staff party £1.8k, own drawings £30k, fines £800, general bad-debt provision increase £2k, specific bad debt written off £1.2k, interest received £900, legal fees on new 60-year lease £6k. CA of £11k computed.","Add: depreciation, customer entertaining, drawings, fines, general provision, legal fees (capital). Allowable: staff party, specific bad debt. Strip: interest. Less CA. Adjusted profit with reasons.",medium
Capital Allowances,"Pool at 1 Apr 2024: Main £55k; Special £8k. Additions: new machine £1,200,000 (AIA eligible); new electric car £40k; used petrol car (60 g/km) £20k. Disposals: old machine £3k (cost £12k); old car from single-asset pool £2k (cost £9k; 70% business). 12-month AP.","AIA cap £1m to special items first; FYA on new electric car; main pool addition for excess; second-hand >50 g/km to special pool; lower-of disposal; pool balances; WDA 18/6 and on single-asset with 70% restriction; total CA.",hard
Basis,"Trader commenced 1 Jul 2022; first accounts 15 months to 30 Sep 2023; thereafter 12 months to 30 Sep. Cease 31 Dec 2026. Compute assessable profits for 2024/25, 2025/26, 2026/27 assuming tax-year basis and overlap b/f of £7,500.","Apportion AP to tax years; deduct overlap b/f in final year; profits per tax year.",hard
NIC,"Employee salary £80k; taxable BIKs £12k. Compute Class 1 primary, Class 1 secondary and Class 1A (rates per [TAX TABLE]).","Threshold-by-threshold slices with rates; Cl1A on BIKs; totals; employment allowance if eligibility discussed.",medium
CGT,"Gains: shares £40k; residential buy-to-let £30k (net of PPR nil); loss on quoted shares £5k CY; b/f losses £8k. Taxable income £40k. AEA £3k. No BADR.","CY loss first; b/f to AEA; AEA to higher-rate residential (24%); remaining BR band allocation against shares first; rate split.",hard
CT,"Company AP 12m to 31 Mar 2025. TTP £200k; dividends received £20k (from 80% subsidiary). Two associated companies (total n=3). Compute CT.","TTP line; augmented profits (exclude 51%+ group div); limits 50k/3 and 250k/3; classify; rate 25% with MR if between; liability and due date.",hard
VAT,"Quarter: standard outputs £120k; zero-rated outputs £15k; exempt outputs £25k. Standard inputs: directly attributable taxable £10k; directly attributable exempt £4k; residual £3k. Plus client entertaining £600 VAT; staff-only function VAT £200. Bad debt >6m £500 VAT.","Output VAT; classify inputs; apply blocks (client entertainment); PE calc on residual; de minimis test; include bad debt relief; net payable.",hard
Admin,"Client 2024/25 IT+Cl4 was £4,200 with PAYE £1,000 collected at source. Compute POA and balancing payment assuming 2025/26 estimated at £4,800.","POA trigger (prior year >£1,000 and >20% uncollected); POA amount = 50% of (IT+Cl4 - tax deducted at source); due dates; balancing payment calc.",medium
Ethics,"Client admits having omitted £30,000 of rental income over two years; refuses to disclose. What actions must the firm take?","Name principles (integrity/professional behaviour); advise disclosure; cease to act if refused; SAR to MLRO under MLR 2017; do not tip off.",medium
